Location,TimeFrame,DataFormat,Data
Colorado,2010,Percent,0.66
Colorado,2011,Percent,0.65
Colorado,2008,Percent,0.66
Colorado,2009,Percent,0.65
Colorado,2012,Percent,0.67
Colorado,2013,Percent,0.679
Colorado,2014,Percent,0.67453
ACADEMY 20,2010,Percent,0.84
ACADEMY 20,2011,Percent,0.83
ACADEMY 20,2008,Percent,0.84
ACADEMY 20,2009,Percent,0.83
ACADEMY 20,2012,Percent,0.82695
ACADEMY 20,2013,Percent,0.82
ACADEMY 20,2014,Percent,0.82319
ADAMS COUNTY 14,2010,Percent,0.42
ADAMS COUNTY 14,2011,Percent,0.41
ADAMS COUNTY 14,2008,Percent,0.42
ADAMS COUNTY 14,2009,Percent,0.39
ADAMS COUNTY 14,2012,Percent,0.44649
ADAMS COUNTY 14,2013,Percent,0.393
ADAMS COUNTY 14,2014,Percent,0.44972
ADAMS-ARAPAHOE 28J,2010,Percent,0.42
ADAMS-ARAPAHOE 28J,2011,Percent,0.41
ADAMS-ARAPAHOE 28J,2008,Percent,0.41
ADAMS-ARAPAHOE 28J,2009,Percent,0.41
ADAMS-ARAPAHOE 28J,2012,Percent,0.43687
ADAMS-ARAPAHOE 28J,2013,Percent,0.435
ADAMS-ARAPAHOE 28J,2014,Percent,0.43364
AGATE 300,2010,Percent,LNE
AGATE 300,2011,Percent,LNE
AGATE 300,2008,Percent,LNE
AGATE 300,2009,Percent,LNE
AGATE 300,2012,Percent,N/A
AGATE 300,2013,Percent,LNE
AGATE 300,2014,Percent,LNE
AGUILAR REORGANIZED 6,2010,Percent,LNE
AGUILAR REORGANIZED 6,2011,Percent,LNE
AGUILAR REORGANIZED 6,2008,Percent,LNE
AGUILAR REORGANIZED 6,2009,Percent,LNE
AGUILAR REORGANIZED 6,2012,Percent,N/A
AGUILAR REORGANIZED 6,2013,Percent,LNE
AGUILAR REORGANIZED 6,2014,Percent,LNE
AKRON R-1,2010,Percent,0.69
AKRON R-1,2011,Percent,0.67
AKRON R-1,2008,Percent,0.68
AKRON R-1,2009,Percent,0.51
AKRON R-1,2012,Percent,0.6875
AKRON R-1,2013,Percent,0.615
AKRON R-1,2014,Percent,0.6
ALAMOSA RE-11J,2010,Percent,0.51
ALAMOSA RE-11J,2011,Percent,0.61
ALAMOSA RE-11J,2008,Percent,0.54
ALAMOSA RE-11J,2009,Percent,0.49
ALAMOSA RE-11J,2012,Percent,0.55172
ALAMOSA RE-11J,2013,Percent,0.693
ALAMOSA RE-11J,2014,Percent,0.62
ARCHULETA COUNTY 50 JT,2010,Percent,0.63
ARCHULETA COUNTY 50 JT,2011,Percent,0.72
ARCHULETA COUNTY 50 JT,2008,Percent,0.81
ARCHULETA COUNTY 50 JT,2009,Percent,0.69
ARCHULETA COUNTY 50 JT,2012,Percent,0.54167
ARCHULETA COUNTY 50 JT,2013,Percent,0.62
ARCHULETA COUNTY 50 JT,2014,Percent,0.67826
ARICKAREE R-2,2010,Percent,LNE
ARICKAREE R-2,2011,Percent,LNE
ARICKAREE R-2,2008,Percent,LNE
ARICKAREE R-2,2009,Percent,LNE
ARICKAREE R-2,2012,Percent,N/A
ARICKAREE R-2,2013,Percent,LNE
ARICKAREE R-2,2014,Percent,LNE
ARRIBA-FLAGLER C-20,2010,Percent,LNE
ARRIBA-FLAGLER C-20,2011,Percent,LNE
ARRIBA-FLAGLER C-20,2008,Percent,LNE
ARRIBA-FLAGLER C-20,2009,Percent,LNE
ARRIBA-FLAGLER C-20,2012,Percent,N/A
ARRIBA-FLAGLER C-20,2013,Percent,0.706
ARRIBA-FLAGLER C-20,2014,Percent,LNE
ASPEN 1,2010,Percent,0.88
ASPEN 1,2011,Percent,0.84
ASPEN 1,2008,Percent,0.84
ASPEN 1,2009,Percent,0.87
ASPEN 1,2012,Percent,0.8
ASPEN 1,2013,Percent,0.82
ASPEN 1,2014,Percent,0.9
AULT-HIGHLAND RE-9,2010,Percent,0.55
AULT-HIGHLAND RE-9,2011,Percent,0.56
AULT-HIGHLAND RE-9,2008,Percent,0.56
AULT-HIGHLAND RE-9,2009,Percent,0.58
AULT-HIGHLAND RE-9,2012,Percent,0.58209
AULT-HIGHLAND RE-9,2013,Percent,0.582
AULT-HIGHLAND RE-9,2014,Percent,0.57813
BAYFIELD 10 JT-R,2010,Percent,0.8
BAYFIELD 10 JT-R,2011,Percent,0.8
BAYFIELD 10 JT-R,2008,Percent,0.79
BAYFIELD 10 JT-R,2009,Percent,0.72
BAYFIELD 10 JT-R,2012,Percent,0.74419
BAYFIELD 10 JT-R,2013,Percent,0.696
BAYFIELD 10 JT-R,2014,Percent,0.71287
BENNETT 29J,2010,Percent,0.69
BENNETT 29J,2011,Percent,0.6
BENNETT 29J,2008,Percent,0.73
BENNETT 29J,2009,Percent,0.64
BENNETT 29J,2012,Percent,0.68817
BENNETT 29J,2013,Percent,0.603
BENNETT 29J,2014,Percent,0.59091
BETHUNE R-5,2010,Percent,LNE
BETHUNE R-5,2011,Percent,LNE
BETHUNE R-5,2008,Percent,LNE
BETHUNE R-5,2009,Percent,LNE
BETHUNE R-5,2012,Percent,N/A
BETHUNE R-5,2013,Percent,LNE
BETHUNE R-5,2014,Percent,LNE
BIG SANDY 100J,2010,Percent,0.78
BIG SANDY 100J,2011,Percent,0.69
BIG SANDY 100J,2008,Percent,0.77
BIG SANDY 100J,2009,Percent,0.88
BIG SANDY 100J,2012,Percent,0.72727
BIG SANDY 100J,2013,Percent,0.632
BIG SANDY 100J,2014,Percent,0.77273
BOULDER VALLEY RE 2,2010,Percent,0.79
BOULDER VALLEY RE 2,2011,Percent,0.79
BOULDER VALLEY RE 2,2008,Percent,0.78
BOULDER VALLEY RE 2,2009,Percent,0.8
BOULDER VALLEY RE 2,2012,Percent,0.79098
BOULDER VALLEY RE 2,2013,Percent,0.806
BOULDER VALLEY RE 2,2014,Percent,0.80382
BRANSON REORGANIZED 82,2010,Percent,0.73
BRANSON REORGANIZED 82,2011,Percent,0.85
BRANSON REORGANIZED 82,2008,Percent,0.69
BRANSON REORGANIZED 82,2009,Percent,0.85
BRANSON REORGANIZED 82,2012,Percent,0.72727
BRANSON REORGANIZED 82,2013,Percent,0.611
BRANSON REORGANIZED 82,2014,Percent,0.59091
BRIGGSDALE RE-10,2010,Percent,LNE
BRIGGSDALE RE-10,2011,Percent,LNE
BRIGGSDALE RE-10,2008,Percent,LNE
BRIGGSDALE RE-10,2009,Percent,LNE
BRIGGSDALE RE-10,2012,Percent,N/A
BRIGGSDALE RE-10,2013,Percent,LNE
BRIGGSDALE RE-10,2014,Percent,LNE
BRIGHTON 27J,2010,Percent,0.63
BRIGHTON 27J,2011,Percent,0.65
BRIGHTON 27J,2008,Percent,0.61
BRIGHTON 27J,2009,Percent,0.6
BRIGHTON 27J,2012,Percent,0.65231
BRIGHTON 27J,2013,Percent,0.68
BRIGHTON 27J,2014,Percent,0.70553
BRUSH RE-2(J),2010,Percent,0.63
BRUSH RE-2(J),2011,Percent,0.55
BRUSH RE-2(J),2008,Percent,0.6
BRUSH RE-2(J),2009,Percent,0.56
BRUSH RE-2(J),2012,Percent,0.61789
BRUSH RE-2(J),2013,Percent,0.576
BRUSH RE-2(J),2014,Percent,0.58242
BUENA VISTA R-31,2010,Percent,0.71
BUENA VISTA R-31,2011,Percent,0.67
BUENA VISTA R-31,2008,Percent,0.66
BUENA VISTA R-31,2009,Percent,0.61
BUENA VISTA R-31,2012,Percent,0.79365
BUENA VISTA R-31,2013,Percent,0.694
BUENA VISTA R-31,2014,Percent,0.71053
BUFFALO RE-4,2010,Percent,0.88
BUFFALO RE-4,2011,Percent,0.58
BUFFALO RE-4,2008,Percent,0.9
BUFFALO RE-4,2009,Percent,0.77
BUFFALO RE-4,2012,Percent,0.70833
BUFFALO RE-4,2013,Percent,0.48
BUFFALO RE-4,2014,Percent,0.86957
BURLINGTON RE-6J,2010,Percent,0.54
BURLINGTON RE-6J,2011,Percent,0.73
BURLINGTON RE-6J,2008,Percent,0.72
BURLINGTON RE-6J,2009,Percent,0.78
BURLINGTON RE-6J,2012,Percent,0.6875
BURLINGTON RE-6J,2013,Percent,0.676
BURLINGTON RE-6J,2014,Percent,0.71698
BYERS 32J,2010,Percent,0.96
BYERS 32J,2011,Percent,0.65
BYERS 32J,2008,Percent,0.84
BYERS 32J,2009,Percent,0.68
BYERS 32J,2012,Percent,0.62069
BYERS 32J,2013,Percent,0.75
BYERS 32J,2014,Percent,0.74194
CALHAN RJ-1,2010,Percent,0.71
CALHAN RJ-1,2011,Percent,0.81
CALHAN RJ-1,2008,Percent,0.73
CALHAN RJ-1,2009,Percent,0.64
CALHAN RJ-1,2012,Percent,0.71429
CALHAN RJ-1,2013,Percent,0.436
CALHAN RJ-1,2014,Percent,0.61905
CAMPO RE-6,2010,Percent,LNE
CAMPO RE-6,2011,Percent,LNE
CAMPO RE-6,2008,Percent,LNE
CAMPO RE-6,2009,Percent,LNE
CAMPO RE-6,2012,Percent,N/A
CAMPO RE-6,2013,Percent,LNE
CAMPO RE-6,2014,Percent,LNE
CANON CITY RE-1,2010,Percent,0.67
CANON CITY RE-1,2011,Percent,0.66
CANON CITY RE-1,2008,Percent,0.72
CANON CITY RE-1,2009,Percent,0.65
CANON CITY RE-1,2012,Percent,0.68293
CANON CITY RE-1,2013,Percent,0.67
CANON CITY RE-1,2014,Percent,0.67339
CENTENNIAL R-1,2010,Percent,LNE
CENTENNIAL R-1,2011,Percent,0.63
CENTENNIAL R-1,2008,Percent,LNE
CENTENNIAL R-1,2009,Percent,LNE
CENTENNIAL R-1,2012,Percent,0.5625
CENTENNIAL R-1,2013,Percent,LNE
CENTENNIAL R-1,2014,Percent,LNE
CENTER 26 JT,2010,Percent,0.23
CENTER 26 JT,2011,Percent,0.18
CENTER 26 JT,2008,Percent,0.32
CENTER 26 JT,2009,Percent,0.28
CENTER 26 JT,2012,Percent,0.40741
CENTER 26 JT,2013,Percent,0.75
CENTER 26 JT,2014,Percent,0.7561
CHERAW 31,2010,Percent,0.53
CHERAW 31,2011,Percent,0.42
CHERAW 31,2008,Percent,0.48
CHERAW 31,2009,Percent,0.63
CHERAW 31,2012,Percent,N/A
CHERAW 31,2013,Percent,LNE
CHERAW 31,2014,Percent,LNE
CHERRY CREEK 5,2010,Percent,0.75
CHERRY CREEK 5,2011,Percent,0.75
CHERRY CREEK 5,2008,Percent,0.74
CHERRY CREEK 5,2009,Percent,0.73
CHERRY CREEK 5,2012,Percent,0.74865
CHERRY CREEK 5,2013,Percent,0.771
CHERRY CREEK 5,2014,Percent,0.75345
CHEYENNE COUNTY RE-5,2010,Percent,LNE
CHEYENNE COUNTY RE-5,2011,Percent,LNE
CHEYENNE COUNTY RE-5,2008,Percent,LNE
CHEYENNE COUNTY RE-5,2009,Percent,LNE
