Location,TimeFrame,DataFormat,Data
Colorado,2007,Percent,0.39465
Colorado,2006,Percent,0.33677
Colorado,2005,Percent,0.27807
Colorado,2004,Percent,0.24014
Colorado,2008,Percent,0.5357
Colorado,2009,Percent,0.598
Colorado,2010,Percent,0.64019
Colorado,2011,Percent,0.672
Colorado,2012,Percent,0.695
Colorado,2013,Percent,0.70263
Colorado,2014,Percent,0.74118
ACADEMY 20,2007,Percent,0.39159
ACADEMY 20,2006,Percent,0.35364
ACADEMY 20,2005,Percent,0.26709
ACADEMY 20,2004,Percent,0.30201
ACADEMY 20,2008,Percent,0.38456
ACADEMY 20,2009,Percent,0.39
ACADEMY 20,2010,Percent,0.43628
ACADEMY 20,2011,Percent,0.489
ACADEMY 20,2012,Percent,0.47883
ACADEMY 20,2013,Percent,0.48774
ACADEMY 20,2014,Percent,0.49022
ADAMS COUNTY 14,2007,Percent,0.30643
ADAMS COUNTY 14,2006,Percent,0.29331
ADAMS COUNTY 14,2005,Percent,0.3
ADAMS COUNTY 14,2004,Percent,0.22797
ADAMS COUNTY 14,2008,Percent,0.67331
ADAMS COUNTY 14,2009,Percent,1
ADAMS COUNTY 14,2010,Percent,1
ADAMS COUNTY 14,2011,Percent,1
ADAMS COUNTY 14,2012,Percent,1
ADAMS COUNTY 14,2013,Percent,0.9983
ADAMS COUNTY 14,2014,Percent,1
ADAMS-ARAPAHOE 28J,2007,Percent,0.47359
ADAMS-ARAPAHOE 28J,2006,Percent,0.37013
ADAMS-ARAPAHOE 28J,2005,Percent,0.20176
ADAMS-ARAPAHOE 28J,2004,Percent,0.17444
ADAMS-ARAPAHOE 28J,2008,Percent,0.47965
ADAMS-ARAPAHOE 28J,2009,Percent,0.73
ADAMS-ARAPAHOE 28J,2010,Percent,0.92209
ADAMS-ARAPAHOE 28J,2011,Percent,0.95
ADAMS-ARAPAHOE 28J,2012,Percent,0.97359
ADAMS-ARAPAHOE 28J,2013,Percent,0.9767
ADAMS-ARAPAHOE 28J,2014,Percent,0.97123
AGATE 300,2007,Percent,1
AGATE 300,2006,Percent,#DIV/0!
AGATE 300,2005,Percent,1
AGATE 300,2004,Percent,1
AGATE 300,2008,Percent,1
AGATE 300,2009,Percent,1
AGATE 300,2010,Percent,1
AGATE 300,2011,Percent,1
AGATE 300,2012,Percent,1
AGATE 300,2013,Percent,1
AGATE 300,2014,Percent,1
AGUILAR REORGANIZED 6,2007,Percent,1
AGUILAR REORGANIZED 6,2006,Percent,1
AGUILAR REORGANIZED 6,2005,Percent,1
AGUILAR REORGANIZED 6,2004,Percent,1
AGUILAR REORGANIZED 6,2008,Percent,1
AGUILAR REORGANIZED 6,2009,Percent,1
AGUILAR REORGANIZED 6,2010,Percent,1
AGUILAR REORGANIZED 6,2011,Percent,1
AGUILAR REORGANIZED 6,2012,Percent,1
AGUILAR REORGANIZED 6,2013,Percent,1
AGUILAR REORGANIZED 6,2014,Percent,1
AKRON R-1,2007,Percent,0
AKRON R-1,2006,Percent,0
AKRON R-1,2005,Percent,0
AKRON R-1,2004,Percent,0
AKRON R-1,2008,Percent,0.84375
AKRON R-1,2009,Percent,0.96
AKRON R-1,2010,Percent,1
AKRON R-1,2011,Percent,1
AKRON R-1,2012,Percent,1
AKRON R-1,2013,Percent,1
AKRON R-1,2014,Percent,1
ALAMOSA RE-11J,2007,Percent,0.66013
ALAMOSA RE-11J,2006,Percent,0.08333
ALAMOSA RE-11J,2005,Percent,0.20779
ALAMOSA RE-11J,2004,Percent,0
ALAMOSA RE-11J,2008,Percent,0.99383
ALAMOSA RE-11J,2009,Percent,1
ALAMOSA RE-11J,2010,Percent,1
ALAMOSA RE-11J,2011,Percent,1
ALAMOSA RE-11J,2012,Percent,1
ALAMOSA RE-11J,2013,Percent,1
ALAMOSA RE-11J,2014,Percent,1
ARCHULETA COUNTY 50 JT,2007,Percent,0.54217
ARCHULETA COUNTY 50 JT,2006,Percent,0.53
ARCHULETA COUNTY 50 JT,2005,Percent,0
ARCHULETA COUNTY 50 JT,2004,Percent,0
ARCHULETA COUNTY 50 JT,2008,Percent,0.5625
ARCHULETA COUNTY 50 JT,2009,Percent,0.61
ARCHULETA COUNTY 50 JT,2010,Percent,0.60215
ARCHULETA COUNTY 50 JT,2011,Percent,0.571
ARCHULETA COUNTY 50 JT,2012,Percent,0.91818
ARCHULETA COUNTY 50 JT,2013,Percent,0.91837
ARCHULETA COUNTY 50 JT,2014,Percent,0.92857
ARICKAREE R-2,2007,Percent,N/A
ARICKAREE R-2,2006,Percent,0.125
ARICKAREE R-2,2005,Percent,0
ARICKAREE R-2,2004,Percent,1
ARICKAREE R-2,2008,Percent,1
ARICKAREE R-2,2009,Percent,1
ARICKAREE R-2,2010,Percent,1
ARICKAREE R-2,2011,Percent,1
ARICKAREE R-2,2012,Percent,1
ARICKAREE R-2,2013,Percent,1
ARICKAREE R-2,2014,Percent,1
ARRIBA-FLAGLER C-20,2007,Percent,0.25
ARRIBA-FLAGLER C-20,2006,Percent,0.38462
ARRIBA-FLAGLER C-20,2005,Percent,0.625
ARRIBA-FLAGLER C-20,2004,Percent,0.45455
ARRIBA-FLAGLER C-20,2008,Percent,0
ARRIBA-FLAGLER C-20,2009,Percent,1
ARRIBA-FLAGLER C-20,2010,Percent,1
ARRIBA-FLAGLER C-20,2011,Percent,1
ARRIBA-FLAGLER C-20,2012,Percent,1
ARRIBA-FLAGLER C-20,2013,Percent,1
ARRIBA-FLAGLER C-20,2014,Percent,1
ASPEN 1,2007,Percent,1
ASPEN 1,2006,Percent,1
ASPEN 1,2005,Percent,1
ASPEN 1,2004,Percent,1
ASPEN 1,2008,Percent,1
ASPEN 1,2009,Percent,1
ASPEN 1,2010,Percent,1
ASPEN 1,2011,Percent,1
ASPEN 1,2012,Percent,1
ASPEN 1,2013,Percent,1
ASPEN 1,2014,Percent,0.9918
AULT-HIGHLAND RE-9,2007,Percent,1
AULT-HIGHLAND RE-9,2006,Percent,1
AULT-HIGHLAND RE-9,2005,Percent,1
AULT-HIGHLAND RE-9,2004,Percent,1
AULT-HIGHLAND RE-9,2008,Percent,0.9863
AULT-HIGHLAND RE-9,2009,Percent,1
AULT-HIGHLAND RE-9,2010,Percent,1
AULT-HIGHLAND RE-9,2011,Percent,1
AULT-HIGHLAND RE-9,2012,Percent,1
AULT-HIGHLAND RE-9,2013,Percent,1
AULT-HIGHLAND RE-9,2014,Percent,1
BAYFIELD 10 JT-R,2007,Percent,1
BAYFIELD 10 JT-R,2006,Percent,0
BAYFIELD 10 JT-R,2005,Percent,0.5
BAYFIELD 10 JT-R,2004,Percent,0.31818
BAYFIELD 10 JT-R,2008,Percent,1
BAYFIELD 10 JT-R,2009,Percent,1
