Location,TimeFrame,DataFormat,Data
Colorado,2005-2009,Currency,56222
Colorado,2006-2010,Currency,56456
Colorado,2008-2012,Currency,58244
Colorado,2007-2011,Currency,57685
Colorado,2009-2013,Currency,58433
ACADEMY 20,2005-2009,Currency,85060
ACADEMY 20,2006-2010,Currency,85450
ACADEMY 20,2008-2012,Currency,89615
ACADEMY 20,2007-2011,Currency,88099
ACADEMY 20,2009-2013,Currency,89953
ADAMS COUNTY 14,2005-2009,Currency,41382
ADAMS COUNTY 14,2006-2010,Currency,40740
ADAMS COUNTY 14,2008-2012,Currency,41886
ADAMS COUNTY 14,2007-2011,Currency,41430
ADAMS COUNTY 14,2009-2013,Currency,41088
ADAMS-ARAPAHOE 28J,2005-2009,Currency,43893
ADAMS-ARAPAHOE 28J,2006-2010,Currency,44007
ADAMS-ARAPAHOE 28J,2008-2012,Currency,45438
ADAMS-ARAPAHOE 28J,2007-2011,Currency,44687
ADAMS-ARAPAHOE 28J,2009-2013,Currency,45507
AGATE 300,2005-2009,Currency,64167
AGATE 300,2006-2010,Currency,64145
AGATE 300,2008-2012,Currency,60625
AGATE 300,2007-2011,Currency,56944
AGATE 300,2009-2013,Currency,53125
AGUILAR REORGANIZED 6,2005-2009,Currency,44375
AGUILAR REORGANIZED 6,2006-2010,Currency,47610
AGUILAR REORGANIZED 6,2008-2012,Currency,43299
AGUILAR REORGANIZED 6,2007-2011,Currency,44050
AGUILAR REORGANIZED 6,2009-2013,Currency,36316
AKRON R-1,2005-2009,Currency,37945
AKRON R-1,2006-2010,Currency,38525
AKRON R-1,2008-2012,Currency,40741
AKRON R-1,2007-2011,Currency,42635
AKRON R-1,2009-2013,Currency,43906
ALAMOSA RE-11J,2005-2009,Currency,31667
ALAMOSA RE-11J,2006-2010,Currency,35878
ALAMOSA RE-11J,2008-2012,Currency,37568
ALAMOSA RE-11J,2007-2011,Currency,38398
ALAMOSA RE-11J,2009-2013,Currency,33285
ARCHULETA COUNTY 50 JT,2005-2009,Currency,57732
ARCHULETA COUNTY 50 JT,2006-2010,Currency,57633
ARCHULETA COUNTY 50 JT,2008-2012,Currency,54301
ARCHULETA COUNTY 50 JT,2007-2011,Currency,61028
ARCHULETA COUNTY 50 JT,2009-2013,Currency,48818
ARICKAREE R-2,2005-2009,Currency,45694
ARICKAREE R-2,2006-2010,Currency,47772
ARICKAREE R-2,2008-2012,Currency,51500
ARICKAREE R-2,2007-2011,Currency,50385
ARICKAREE R-2,2009-2013,Currency,51094
ARRIBA-FLAGLER C-20,2005-2009,Currency,34758
ARRIBA-FLAGLER C-20,2006-2010,Currency,44000
ARRIBA-FLAGLER C-20,2008-2012,Currency,41667
ARRIBA-FLAGLER C-20,2007-2011,Currency,42583
ARRIBA-FLAGLER C-20,2009-2013,Currency,37917
ASPEN 1,2005-2009,Currency,56837
ASPEN 1,2006-2010,Currency,61807
ASPEN 1,2008-2012,Currency,69688
ASPEN 1,2007-2011,Currency,68008
ASPEN 1,2009-2013,Currency,75136
