Location,TimeFrame,DataFormat,Data
Colorado,2011,Number,16221
Colorado,2012,Number,16638
Colorado,2013,Number,16215
ACADEMY 20,2011,Number,33
ACADEMY 20,2012,Number,35
ACADEMY 20,2013,Number,341
ADAMS COUNTY 14,2011,Number,0
ADAMS COUNTY 14,2012,Number,0
ADAMS COUNTY 14,2013,Number,0
ADAMS-ARAPAHOE 28J,2011,Number,184
ADAMS-ARAPAHOE 28J,2012,Number,120
ADAMS-ARAPAHOE 28J,2013,Number,163
AGATE 300,2011,Number,0
AGATE 300,2012,Number,0
AGATE 300,2013,Number,0
AGUILAR REORGANIZED 6,2011,Number,0
AGUILAR REORGANIZED 6,2012,Number,0
AGUILAR REORGANIZED 6,2013,Number,0
AKRON R-1,2011,Number,0
AKRON R-1,2012,Number,0
AKRON R-1,2013,Number,0
ALAMOSA RE-11J,2011,Number,0
ALAMOSA RE-11J,2012,Number,0
ALAMOSA RE-11J,2013,Number,0
ARCHULETA COUNTY 50 JT,2011,Number,2
ARCHULETA COUNTY 50 JT,2012,Number,0
ARCHULETA COUNTY 50 JT,2013,Number,0
ARICKAREE R-2,2011,Number,0
ARICKAREE R-2,2012,Number,0
ARICKAREE R-2,2013,Number,0
ARRIBA-FLAGLER C-20,2011,Number,0
ARRIBA-FLAGLER C-20,2012,Number,0
ARRIBA-FLAGLER C-20,2013,Number,0
ASPEN 1,2011,Number,0
ASPEN 1,2012,Number,0
ASPEN 1,2013,Number,0
AULT-HIGHLAND RE-9,2011,Number,0
AULT-HIGHLAND RE-9,2012,Number,0
AULT-HIGHLAND RE-9,2013,Number,0
BAYFIELD 10 JT-R,2011,Number,0
BAYFIELD 10 JT-R,2012,Number,0
BAYFIELD 10 JT-R,2013,Number,0
BENNETT 29J,2011,Number,0
BENNETT 29J,2012,Number,0
BENNETT 29J,2013,Number,0
BETHUNE R-5,2011,Number,0
BETHUNE R-5,2012,Number,0
BETHUNE R-5,2013,Number,0
BIG SANDY 100J,2011,Number,0
BIG SANDY 100J,2012,Number,1
BIG SANDY 100J,2013,Number,0
BOULDER VALLEY RE 2,2011,Number,121
