Location,TimeFrame,DataFormat,Data
Colorado,2009,Number,832368
Colorado,2010,Number,843316
Colorado,2011,Number,854265
Colorado,2012,Number,863561
Colorado,2013,Number,876999
Colorado,2014,Number,889006
ACADEMY 20,2009,Number,22620
ACADEMY 20,2010,Number,23119
ACADEMY 20,2011,Number,23657
ACADEMY 20,2012,Number,23973
ACADEMY 20,2013,Number,24481
ACADEMY 20,2014,Number,24578
ADAMS COUNTY 14,2009,Number,7422
ADAMS COUNTY 14,2010,Number,7549
ADAMS COUNTY 14,2011,Number,7321
ADAMS COUNTY 14,2012,Number,7500
ADAMS COUNTY 14,2013,Number,7598
ADAMS COUNTY 14,2014,Number,7584
ADAMS-ARAPAHOE 28J,2009,Number,36967
ADAMS-ARAPAHOE 28J,2010,Number,38605
ADAMS-ARAPAHOE 28J,2011,Number,39696
ADAMS-ARAPAHOE 28J,2012,Number,39835
ADAMS-ARAPAHOE 28J,2013,Number,40877
ADAMS-ARAPAHOE 28J,2014,Number,41729
AGATE 300,2009,Number,45
AGATE 300,2010,Number,33
AGATE 300,2011,Number,9
AGATE 300,2012,Number,10
AGATE 300,2013,Number,12
AGATE 300,2014,Number,10
AGUILAR REORGANIZED 6,2009,Number,133
AGUILAR REORGANIZED 6,2010,Number,112
AGUILAR REORGANIZED 6,2011,Number,94
AGUILAR REORGANIZED 6,2012,Number,97
AGUILAR REORGANIZED 6,2013,Number,107
AGUILAR REORGANIZED 6,2014,Number,130
AKRON R-1,2009,Number,384
AKRON R-1,2010,Number,381
AKRON R-1,2011,Number,359
AKRON R-1,2012,Number,354
AKRON R-1,2013,Number,358
AKRON R-1,2014,Number,357
ALAMOSA RE-11J,2009,Number,2046
ALAMOSA RE-11J,2010,Number,2081
ALAMOSA RE-11J,2011,Number,2098
ALAMOSA RE-11J,2012,Number,2072
ALAMOSA RE-11J,2013,Number,2046
ALAMOSA RE-11J,2014,Number,2136
ARCHULETA COUNTY 50 JT,2009,Number,1517
ARCHULETA COUNTY 50 JT,2010,Number,1492
ARCHULETA COUNTY 50 JT,2011,Number,1405
ARCHULETA COUNTY 50 JT,2012,Number,1371
ARCHULETA COUNTY 50 JT,2013,Number,1323
ARCHULETA COUNTY 50 JT,2014,Number,1326
ARICKAREE R-2,2009,Number,113
ARICKAREE R-2,2010,Number,111
ARICKAREE R-2,2011,Number,104
ARICKAREE R-2,2012,Number,108
ARICKAREE R-2,2013,Number,114
ARICKAREE R-2,2014,Number,107
ARRIBA-FLAGLER C-20,2009,Number,165
ARRIBA-FLAGLER C-20,2010,Number,170
ARRIBA-FLAGLER C-20,2011,Number,167
ARRIBA-FLAGLER C-20,2012,Number,176
ARRIBA-FLAGLER C-20,2013,Number,187
ARRIBA-FLAGLER C-20,2014,Number,195
ASPEN 1,2009,Number,1698
ASPEN 1,2010,Number,1727
ASPEN 1,2011,Number,1712
ASPEN 1,2012,Number,1732
ASPEN 1,2013,Number,1728
ASPEN 1,2014,Number,1756
AULT-HIGHLAND RE-9,2009,Number,816
AULT-HIGHLAND RE-9,2010,Number,846
AULT-HIGHLAND RE-9,2011,Number,795
AULT-HIGHLAND RE-9,2012,Number,770
AULT-HIGHLAND RE-9,2013,Number,765
AULT-HIGHLAND RE-9,2014,Number,761
BAYFIELD 10 JT-R,2009,Number,1406
BAYFIELD 10 JT-R,2010,Number,1405
BAYFIELD 10 JT-R,2011,Number,1362
BAYFIELD 10 JT-R,2012,Number,1402
BAYFIELD 10 JT-R,2013,Number,1340
BAYFIELD 10 JT-R,2014,Number,1325
BENNETT 29J,2009,Number,1127
BENNETT 29J,2010,Number,1150
BENNETT 29J,2011,Number,1085
BENNETT 29J,2012,Number,1044
BENNETT 29J,2013,Number,1013
BENNETT 29J,2014,Number,1079
BETHUNE R-5,2009,Number,126
BETHUNE R-5,2010,Number,130
BETHUNE R-5,2011,Number,133
BETHUNE R-5,2012,Number,133
BETHUNE R-5,2013,Number,132
BETHUNE R-5,2014,Number,117
BIG SANDY 100J,2009,Number,319
BIG SANDY 100J,2010,Number,331
BIG SANDY 100J,2011,Number,330
BIG SANDY 100J,2012,Number,300
BIG SANDY 100J,2013,Number,318
BIG SANDY 100J,2014,Number,295
BOULDER VALLEY RE 2,2009,Number,29011
BOULDER VALLEY RE 2,2010,Number,29526
BOULDER VALLEY RE 2,2011,Number,29780
BOULDER VALLEY RE 2,2012,Number,30041
BOULDER VALLEY RE 2,2013,Number,30546
BOULDER VALLEY RE 2,2014,Number,30908
BRANSON REORGANIZED 82,2009,Number,493
BRANSON REORGANIZED 82,2010,Number,470
BRANSON REORGANIZED 82,2011,Number,438
BRANSON REORGANIZED 82,2012,Number,452
BRANSON REORGANIZED 82,2013,Number,480
BRANSON REORGANIZED 82,2014,Number,450
BRIGGSDALE RE-10,2009,Number,161
BRIGGSDALE RE-10,2010,Number,157
BRIGGSDALE RE-10,2011,Number,156
BRIGGSDALE RE-10,2012,Number,162
BRIGGSDALE RE-10,2013,Number,162
BRIGGSDALE RE-10,2014,Number,177
BRIGHTON 27J,2009,Number,14469
BRIGHTON 27J,2010,Number,15063
BRIGHTON 27J,2011,Number,15649
BRIGHTON 27J,2012,Number,16163
BRIGHTON 27J,2013,Number,16698
BRIGHTON 27J,2014,Number,17103
BRUSH RE-2(J),2009,Number,1486
BRUSH RE-2(J),2010,Number,1510
BRUSH RE-2(J),2011,Number,1501
BRUSH RE-2(J),2012,Number,1547
BRUSH RE-2(J),2013,Number,1564
BRUSH RE-2(J),2014,Number,1518
BUENA VISTA R-31,2009,Number,969
BUENA VISTA R-31,2010,Number,985
BUENA VISTA R-31,2011,Number,1013
BUENA VISTA R-31,2012,Number,994
BUENA VISTA R-31,2013,Number,968
BUENA VISTA R-31,2014,Number,950
BUFFALO RE-4,2009,Number,306
BUFFALO RE-4,2010,Number,311
BUFFALO RE-4,2011,Number,309
BUFFALO RE-4,2012,Number,319
BUFFALO RE-4,2013,Number,318
BUFFALO RE-4,2014,Number,315
BURLINGTON RE-6J,2009,Number,819
BURLINGTON RE-6J,2010,Number,830
BURLINGTON RE-6J,2011,Number,832
BURLINGTON RE-6J,2012,Number,814
BURLINGTON RE-6J,2013,Number,828
BURLINGTON RE-6J,2014,Number,784
BYERS 32J,2009,Number,480
BYERS 32J,2010,Number,473
BYERS 32J,2011,Number,494
BYERS 32J,2012,Number,563
BYERS 32J,2013,Number,647
BYERS 32J,2014,Number,2142
CALHAN RJ-1,2009,Number,639
CALHAN RJ-1,2010,Number,620
CALHAN RJ-1,2011,Number,526
CALHAN RJ-1,2012,Number,510
CALHAN RJ-1,2013,Number,472
CALHAN RJ-1,2014,Number,463
CAMPO RE-6,2009,Number,49
CAMPO RE-6,2010,Number,58
CAMPO RE-6,2011,Number,57
CAMPO RE-6,2012,Number,49
CAMPO RE-6,2013,Number,44
CAMPO RE-6,2014,Number,44
CANON CITY RE-1,2009,Number,3699
CANON CITY RE-1,2010,Number,3702
CANON CITY RE-1,2011,Number,3738
CANON CITY RE-1,2012,Number,3622
CANON CITY RE-1,2013,Number,3650
CANON CITY RE-1,2014,Number,3603
CENTENNIAL R-1,2009,Number,220
CENTENNIAL R-1,2010,Number,248
CENTENNIAL R-1,2011,Number,248
CENTENNIAL R-1,2012,Number,190
CENTENNIAL R-1,2013,Number,208
CENTENNIAL R-1,2014,Number,221
CENTER 26 JT,2009,Number,605
CENTER 26 JT,2010,Number,580
CENTER 26 JT,2011,Number,612
CENTER 26 JT,2012,Number,623
CENTER 26 JT,2013,Number,657
CENTER 26 JT,2014,Number,649
CHERAW 31,2009,Number,210
CHERAW 31,2010,Number,219
CHERAW 31,2011,Number,219
CHERAW 31,2012,Number,222
CHERAW 31,2013,Number,231
CHERAW 31,2014,Number,229
CHERRY CREEK 5,2009,Number,51708
CHERRY CREEK 5,2010,Number,52166
CHERRY CREEK 5,2011,Number,52589
CHERRY CREEK 5,2012,Number,53368
CHERRY CREEK 5,2013,Number,54226
CHERRY CREEK 5,2014,Number,54499
CHEYENNE COUNTY RE-5,2009,Number,189
CHEYENNE COUNTY RE-5,2010,Number,206
CHEYENNE COUNTY RE-5,2011,Number,206
CHEYENNE COUNTY RE-5,2012,Number,203
CHEYENNE COUNTY RE-5,2013,Number,179
CHEYENNE COUNTY RE-5,2014,Number,182
CHEYENNE MOUNTAIN 12,2009,Number,4578
CHEYENNE MOUNTAIN 12,2010,Number,4561
CHEYENNE MOUNTAIN 12,2011,Number,4612
CHEYENNE MOUNTAIN 12,2012,Number,4651
CHEYENNE MOUNTAIN 12,2013,Number,5127
CHEYENNE MOUNTAIN 12,2014,Number,5148
CLEAR CREEK RE-1,2009,Number,974
CLEAR CREEK RE-1,2010,Number,989
CLEAR CREEK RE-1,2011,Number,993
CLEAR CREEK RE-1,2012,Number,959
CLEAR CREEK RE-1,2013,Number,930
CLEAR CREEK RE-1,2014,Number,890
COLORADO SPRINGS 11,2009,Number,29641
COLORADO SPRINGS 11,2010,Number,29459
COLORADO SPRINGS 11,2011,Number,29509
COLORADO SPRINGS 11,2012,Number,28993
COLORADO SPRINGS 11,2013,Number,28404
COLORADO SPRINGS 11,2014,Number,28332
COTOPAXI RE-3,2009,Number,224
COTOPAXI RE-3,2010,Number,222
COTOPAXI RE-3,2011,Number,205
COTOPAXI RE-3,2012,Number,220
COTOPAXI RE-3,2013,Number,211
COTOPAXI RE-3,2014,Number,221
CREEDE CONSOLIDATED 1,2009,Number,101
CREEDE CONSOLIDATED 1,2010,Number,92
CREEDE CONSOLIDATED 1,2011,Number,81
CREEDE CONSOLIDATED 1,2012,Number,78
CREEDE CONSOLIDATED 1,2013,Number,80
CREEDE CONSOLIDATED 1,2014,Number,77
CRIPPLE CREEK-VICTOR RE-1,2009,Number,469
CRIPPLE CREEK-VICTOR RE-1,2010,Number,441
CRIPPLE CREEK-VICTOR RE-1,2011,Number,404
CRIPPLE CREEK-VICTOR RE-1,2012,Number,377
CRIPPLE CREEK-VICTOR RE-1,2013,Number,379
CRIPPLE CREEK-VICTOR RE-1,2014,Number,384
CROWLEY COUNTY RE-1-J,2009,Number,495
CROWLEY COUNTY RE-1-J,2010,Number,493
CROWLEY COUNTY RE-1-J,2011,Number,479
CROWLEY COUNTY RE-1-J,2012,Number,446
CROWLEY COUNTY RE-1-J,2013,Number,448
CROWLEY COUNTY RE-1-J,2014,Number,437
CUSTER COUNTY SCHOOL DISTRICT C-1,2009,Number,489
CUSTER COUNTY SCHOOL DISTRICT C-1,2010,Number,454
CUSTER COUNTY SCHOOL DISTRICT C-1,2011,Number,443
CUSTER COUNTY SCHOOL DISTRICT C-1,2012,Number,414
CUSTER COUNTY SCHOOL DISTRICT C-1,2013,Number,411
CUSTER COUNTY SCHOOL DISTRICT C-1,2014,Number,397
DE BEQUE 49JT,2009,Number,160
DE BEQUE 49JT,2010,Number,136
DE BEQUE 49JT,2011,Number,125
DE BEQUE 49JT,2012,Number,135
DE BEQUE 49JT,2013,Number,146
DE BEQUE 49JT,2014,Number,151
DEER TRAIL 26J,2009,Number,165
DEER TRAIL 26J,2010,Number,167
DEER TRAIL 26J,2011,Number,178
DEER TRAIL 26J,2012,Number,185
DEER TRAIL 26J,2013,Number,176
DEER TRAIL 26J,2014,Number,184
DEL NORTE C-7,2009,Number,597
DEL NORTE C-7,2010,Number,567
DEL NORTE C-7,2011,Number,522
DEL NORTE C-7,2012,Number,475
DEL NORTE C-7,2013,Number,443
DEL NORTE C-7,2014,Number,417
DELTA COUNTY 50(J),2009,Number,5337
DELTA COUNTY 50(J),2010,Number,5301
DELTA COUNTY 50(J),2011,Number,5284
DELTA COUNTY 50(J),2012,Number,5355
DELTA COUNTY 50(J),2013,Number,5062
DELTA COUNTY 50(J),2014,Number,5075
DENVER COUNTY 1,2009,Number,77255
DENVER COUNTY 1,2010,Number,78317
DENVER COUNTY 1,2011,Number,80890
DENVER COUNTY 1,2012,Number,83377
DENVER COUNTY 1,2013,Number,86043
DENVER COUNTY 1,2014,Number,88839
DOLORES COUNTY RE NO.2,2009,Number,291
DOLORES COUNTY RE NO.2,2010,Number,309
DOLORES COUNTY RE NO.2,2011,Number,293
DOLORES COUNTY RE NO.2,2012,Number,288
DOLORES COUNTY RE NO.2,2013,Number,293
DOLORES COUNTY RE NO.2,2014,Number,269
DOLORES RE-4A,2009,Number,710
DOLORES RE-4A,2010,Number,689
DOLORES RE-4A,2011,Number,722
DOLORES RE-4A,2012,Number,784
DOLORES RE-4A,2013,Number,775
DOLORES RE-4A,2014,Number,796
DOUGLAS COUNTY RE 1,2009,Number,59932
DOUGLAS COUNTY RE 1,2010,Number,61465
DOUGLAS COUNTY RE 1,2011,Number,63114
DOUGLAS COUNTY RE 1,2012,Number,64657
DOUGLAS COUNTY RE 1,2013,Number,66230
DOUGLAS COUNTY RE 1,2014,Number,66702
DURANGO 9-R,2009,Number,4697
DURANGO 9-R,2010,Number,4675
DURANGO 9-R,2011,Number,4537
DURANGO 9-R,2012,Number,4575
DURANGO 9-R,2013,Number,4659
DURANGO 9-R,2014,Number,4564
EADS RE-1,2009,Number,189
EADS RE-1,2010,Number,187
EADS RE-1,2011,Number,185
EADS RE-1,2012,Number,180
EADS RE-1,2013,Number,181
EADS RE-1,2014,Number,175
EAGLE COUNTY RE 50,2009,Number,6244
EAGLE COUNTY RE 50,2010,Number,6181
EAGLE COUNTY RE 50,2011,Number,6344
EAGLE COUNTY RE 50,2012,Number,6408
EAGLE COUNTY RE 50,2013,Number,6520
EAGLE COUNTY RE 50,2014,Number,6713
EAST GRAND 2,2009,Number,1438
EAST GRAND 2,2010,Number,1325
EAST GRAND 2,2011,Number,1273
EAST GRAND 2,2012,Number,1245
EAST GRAND 2,2013,Number,1264
EAST GRAND 2,2014,Number,1299
EAST OTERO R-1,2009,Number,1318
EAST OTERO R-1,2010,Number,1309
EAST OTERO R-1,2011,Number,1293
EAST OTERO R-1,2012,Number,1307
EAST OTERO R-1,2013,Number,1309
EAST OTERO R-1,2014,Number,1309
EAST YUMA COUNTY RJ-2,2009,Number,N/A
EAST YUMA COUNTY RJ-2,2010,Number,N/A
EAST YUMA COUNTY RJ-2,2011,Number,N/A
EAST YUMA COUNTY RJ-2,2012,Number,N/A
EAST YUMA COUNTY RJ-2,2013,Number,N/A
EAST YUMA COUNTY RJ-2,2014,Number,NA
EATON RE-2,2009,Number,1705
EATON RE-2,2010,Number,1749
EATON RE-2,2011,Number,1768
EATON RE-2,2012,Number,1804
EATON RE-2,2013,Number,1837
EATON RE-2,2014,Number,1904
EDISON 54 JT,2009,Number,305
EDISON 54 JT,2010,Number,214
EDISON 54 JT,2011,Number,190
EDISON 54 JT,2012,Number,185
EDISON 54 JT,2013,Number,191
EDISON 54 JT,2014,Number,217
ELBERT 200,2009,Number,239
ELBERT 200,2010,Number,230
ELBERT 200,2011,Number,199
ELBERT 200,2012,Number,209
ELBERT 200,2013,Number,198
ELBERT 200,2014,Number,221
ELIZABETH C-1,2009,Number,2737
ELIZABETH C-1,2010,Number,2636
ELIZABETH C-1,2011,Number,2656
ELIZABETH C-1,2012,Number,2703
ELIZABETH C-1,2013,Number,2621
ELIZABETH C-1,2014,Number,2545
ELLICOTT 22,2009,Number,896
ELLICOTT 22,2010,Number,1003
ELLICOTT 22,2011,Number,1003
ELLICOTT 22,2012,Number,1027
