Location,TimeFrame,DataFormat,Data
Colorado,2009,Percent,0.096
Colorado,2011,Percent,0.097
Colorado,2012,Number,84410
Colorado,2012,Percent,0.098
Colorado,2013,Percent,0.10056
Colorado,2010,Percent,0.096
Colorado,2014,Number,89602
Colorado,2014,Percent,0.10079
ACADEMY 20,2009,Percent,0.075
ACADEMY 20,2011,Percent,0.079
ACADEMY 20,2012,Number,1873
ACADEMY 20,2012,Percent,0.078
ACADEMY 20,2013,Percent,0.07912
ACADEMY 20,2010,Percent,0.07829
ACADEMY 20,2014,Number,1952
ACADEMY 20,2014,Percent,0.07942
ADAMS COUNTY 14,2009,Percent,0.105
ADAMS COUNTY 14,2011,Percent,0.114
ADAMS COUNTY 14,2012,Number,841
ADAMS COUNTY 14,2012,Percent,0.112
ADAMS COUNTY 14,2013,Percent,0.11858
ADAMS COUNTY 14,2010,Percent,0.10677
ADAMS COUNTY 14,2014,Number,871
ADAMS COUNTY 14,2014,Percent,0.11485
ADAMS-ARAPAHOE 28J,2009,Percent,0.105
ADAMS-ARAPAHOE 28J,2011,Percent,0.099
ADAMS-ARAPAHOE 28J,2012,Number,4104
ADAMS-ARAPAHOE 28J,2012,Percent,0.103
ADAMS-ARAPAHOE 28J,2013,Percent,0.10289
ADAMS-ARAPAHOE 28J,2010,Percent,0.10107
ADAMS-ARAPAHOE 28J,2014,Number,4417
ADAMS-ARAPAHOE 28J,2014,Percent,0.10585
AGATE 300,2009,Percent,0.222
AGATE 300,2011,Percent,0
AGATE 300,2012,Number,0
AGATE 300,2012,Percent,0
AGATE 300,2013,Percent,0.16667
AGATE 300,2010,Percent,0.24242
AGATE 300,2014,Number,2
AGATE 300,2014,Percent,0.2
AGUILAR REORGANIZED 6,2009,Percent,0.09
AGUILAR REORGANIZED 6,2011,Percent,0.085
AGUILAR REORGANIZED 6,2012,Number,9
AGUILAR REORGANIZED 6,2012,Percent,0.093
AGUILAR REORGANIZED 6,2013,Percent,0.08411
AGUILAR REORGANIZED 6,2010,Percent,0.09821
AGUILAR REORGANIZED 6,2014,Number,6
AGUILAR REORGANIZED 6,2014,Percent,0.04615
AKRON R-1,2009,Percent,0.12
AKRON R-1,2011,Percent,0.123
AKRON R-1,2012,Number,48
AKRON R-1,2012,Percent,0.136
AKRON R-1,2013,Percent,0.11453
AKRON R-1,2010,Percent,0.12861
AKRON R-1,2014,Number,42
AKRON R-1,2014,Percent,0.11765
ALAMOSA RE-11J,2009,Percent,0.096
ALAMOSA RE-11J,2011,Percent,0.093
ALAMOSA RE-11J,2012,Number,178
ALAMOSA RE-11J,2012,Percent,0.086
ALAMOSA RE-11J,2013,Percent,0.087
ALAMOSA RE-11J,2010,Percent,0.08986
ALAMOSA RE-11J,2014,Number,192
ALAMOSA RE-11J,2014,Percent,0.08989
ARCHULETA COUNTY 50 JT,2009,Percent,0.075
ARCHULETA COUNTY 50 JT,2011,Percent,0.078
ARCHULETA COUNTY 50 JT,2012,Number,116
ARCHULETA COUNTY 50 JT,2012,Percent,0.085
ARCHULETA COUNTY 50 JT,2013,Percent,0.08314
ARCHULETA COUNTY 50 JT,2010,Percent,0.07574
ARCHULETA COUNTY 50 JT,2014,Number,112
ARCHULETA COUNTY 50 JT,2014,Percent,0.08446
ARICKAREE R-2,2009,Percent,0.159
ARICKAREE R-2,2011,Percent,0.067
ARICKAREE R-2,2012,Number,8
ARICKAREE R-2,2012,Percent,0.074
ARICKAREE R-2,2013,Percent,0.0614
ARICKAREE R-2,2010,Percent,0.14414
